Crank angle,V,p,T,m
243.79999999999353,0.0006688476246849355,149894.14078528498,338.17003246672334,0.001032674951982818
243.89999999999353,0.0006683206678075072,150059.35713787258,338.2760467215076,0.001032674951982818
243.99999999999352,0.0006677929523956339,150225.1231126309,338.3823273109771,0.001032674951982818
244.0999999999935,0.0006672644792012304,150391.44065374573,338.48887478499955,0.001032674951982818
244.1999999999935,0.0006667352489805403,150558.31171427973,338.59568969497764,0.001032674951982818
244.2999999999935,0.0006662052624941438,150725.73825623383,338.70277259388786,0.001032674951982818
244.3999999999935,0.0006656745205069706,150893.72225057794,338.8101240362525,0.001032674951982818
244.4999999999935,0.0006651430237883088,151062.26567730843,338.91774457816973,0.001032674951982818
244.59999999999349,0.0006646107731118154,151231.37052548566,339.0256347772987,0.001032674951982818
244.69999999999348,0.0006640777692555274,151401.03879328805,339.133795192881,0.001032674951982818
244.79999999999347,0.0006635440130018716,151571.27248805383,339.2422263857342,0.001032674951982818
244.89999999999347,0.0006630095051376747,151742.07362632803,339.3509289182564,0.001032674951982818
244.99999999999346,0.0006624742464541743,151913.44423391073,339.4599033544325,0.001032674951982818
245.09999999999346,0.0006619382377470288,152085.3863459052,339.56915025984114,0.001032674951982818
245.19999999999345,0.0006614014798163271,152257.9020067663,339.67867020165875,0.001032674951982818
245.29999999999345,0.0006608639734665995,152430.99327034297,339.7884637486534,0.001032674951982818
245.39999999999344,0.0006603257195068272,152604.66219993695,339.898531471211,0.001032674951982818
245.49999999999343,0.0006597867187504529,152778.91086833726,340.00887394130905,0.001032674951982818
245.59999999999343,0.000659246972015391,152953.741357885,340.11949173255636,0.001032674951982818
245.69999999999342,0.0006587064801240362,153129.1557605121,340.23038542017343,0.001032674951982818
245.79999999999342,0.0006581652439032757,153305.1561777891,340.34155558099457,0.001032674951982818
245.8999999999934,0.0006576232641844978,153481.7447209853,340.45300279349453,0.001032674951982818
245.9999999999934,0.0006570805418036015,153658.92351110917,340.5647276377714,0.001032674951982818
246.0999999999934,0.0006565370776010079,153836.69467896313,340.6767306955616,0.001032674951982818
246.1999999999934,0.0006559928724216677,154015.06036519303,340.7890125502407,0.001032674951982818
246.2999999999934,0.0006554479271150737,154194.02272034032,340.901573786832,0.001032674951982818
246.39999999999338,0.0006549022425352685,154373.58390489302,341.0144149920091,0.001032674951982818
246.49999999999338,0.0006543558195408554,154553.74608933498,341.12753675409624,0.001032674951982818
246.59999999999337,0.0006538086589950075,154734.51145419996,341.24093966307726,0.001032674951982818
246.69999999999337,0.000653260761765477,154915.88219012407,341.35462431060034,0.001032674951982818
246.79999999999336,0.0006527121287246069,155097.86049789764,341.4685912899827,0.001032674951982818
246.89999999999336,0.0006521627607493372,155280.44858852014,341.582841196218,0.001032674951982818
246.99999999999335,0.0006516126587212173,155463.64868324748,341.697374625969,0.001032674951982818
247.09999999999334,0.0006510618235264143,155647.4630136519,341.8121921775865,0.001032674951982818
247.19999999999334,0.0006505102560557224,155831.89382167492,341.92729445111183,0.001032674951982818
247.29999999999333,0.0006499579572045733,156016.94335967602,342.0426820482699,0.001032674951982818
247.39999999999333,0.0006494049278730439,156202.6138904948,342.15835557249056,0.001032674951982818
247.49999999999332,0.0006488511689658671,156388.9076874993,342.27431562889933,0.001032674951982818
247.59999999999332,0.0006482966813924401,156575.82703464545,342.3905628243316,0.001032674951982818
247.6999999999933,0.0006477414660668352,156763.37422653008,342.5070977673326,0.001032674951982818
247.7999999999933,0.0006471855239078065,156951.5515684474,342.623921068163,0.001032674951982818
247.8999999999933,0.0006466288558388015,157140.36137644565,342.7410333388053,0.001032674951982818
247.9999999999933,0.000646071462787969,157329.80597738278,342.8584351929673,0.001032674951982818
248.0999999999933,0.0006455133456881681,157519.8877089833,342.97612724608626,0.001032674951982818
248.19999999999328,0.0006449545054769785,157710.60891989624,343.09411011533666,0.001032674951982818
248.29999999999328,0.0006443949430967068,157901.9719697513,343.2123844196307,0.001032674951982818
248.39999999999327,0.0006438346594943999,158093.97922921844,343.33095077962975,0.001032674951982818
248.49999999999326,0.0006432736556218489,158286.63308006694,343.4498098177477,0.001032674951982818
248.59999999999326,0.0006427119324356005,158479.93591522082,343.5689621581511,0.001032674951982818
